filename,Numero provvedimento,Anno,Autorità emittente,Data deposito,Valore controversia,Tipo giudizio,Esito giudizio,Materia,Spese giudizio,Importo a carico del contribuente,Importo a carico dell'ufficio,Stato del giudizio,grado giudizio,Codice autorità emittente,Data creazione metadati,external_link,Tipo provvedimento,Appello,Text available
Sentenza_U09_10_2022.txt,10,2022,CGT 1 Novara,2022-01-17,9775619.42,Collegiale,Favorevole all'ufficio,Iva,A carico del contribuente,37796.9,0.0,Sentenza di secondo grado,1,U09,2022-01-17,https://bancadatigiurisprudenza.giustiziatributaria.gov.it/ricerca/dettaglio/7480230141551818524-8506991921636374557,,,
Sentenza_U13_1015_2022.txt,1015,2022,CGT 1 Torino,2022-12-16,3028379.0,Collegiale,Favorevole all'ufficio,Tributi locali vari,Compensate,0.0,0.0,Appello non presente,1,U13,2022-12-16,https://bancadatigiurisprudenza.giustiziatributaria.gov.it/ricerca/dettaglio/7875156593026978455-7251384501689770484,,,
Sentenza_U17_119_2022.txt,119,2022,CGT 1 Bergamo,2022-03-03,60582.0,Collegiale,Favorevole all'ufficio,Accertamento imposte,A carico del contribuente,2500.0,0.0,Sentenza di secondo grado,1,U17,2022-03-02,https://bancadatigiurisprudenza.giustiziatributaria.gov.it/ricerca/dettaglio/3631729832133011949-7897031902864389854,,,
Sentenza_U24_1913_2022.txt,1913,2022,CGT 1 Milano,2022-07-04,71696.0,Collegiale,Favorevole al contribuente,Irpef|Iva|Irap,Compensate,0.0,0.0,Sentenza di secondo grado,1,U24,2022-07-03,https://bancadatigiurisprudenza.giustiziatributaria.gov.it/ricerca/dettaglio/1305712657362395937-5928241125123866269,,,
Sentenza_U75_247_2021.txt,247,2021,CGT 1 Perugia,2021-06-03,18791.16,Collegiale,Favorevole al contribuente,,A carico dell'ufficio,0.0,1067.0,,1,U75,2025-05-08,https://bancadatigiurisprudenza.giustiziatributaria.gov.it/ricerca/dettaglio/2092002799477395736-8413026647863101025,Sentenza,Appello non presente,True
Sentenza_U91_11131_2023.txt,11131,2023,CGT 1 Roma,2023-09-18,244014.44,Collegiale,Favorevole al contribuente,Riscossione,A carico dell'ufficio,0.0,6450.0,Appello presente,1,U91,2023-07-17,https://bancadatigiurisprudenza.giustiziatributaria.gov.it/ricerca/dettaglio/6116152024489964311-4818060831169219782,,,
Sentenza_U91_485_2022.txt,485,2022,CGT 1 Roma,2022-01-18,270.0,Collegiale,Favorevole all'ufficio,Violazioni e sanzioni,A carico del contribuente,270.0,0.0,Appello non presente,1,U91,2022-01-17,https://bancadatigiurisprudenza.giustiziatributaria.gov.it/ricerca/dettaglio/6692735323921469899-7599865912025123103,,,
Sentenza_U91_5452_2021.txt,5452,2021,CGT 1 Roma,2021-05-12,416294.0,Collegiale,Favorevole al contribuente,Rimborsi,Compensate,0.0,0.0,,1,U91,2021-05-09,https://bancadatigiurisprudenza.giustiziatributaria.gov.it/ricerca/dettaglio/404647248362754792-7093532946041782687,Sentenza,Appello non presente,True
Sentenza_U91_9814_2021.txt,9814,2021,CGT 1 Roma,2021-09-20,54006.78,Collegiale,Favorevole all'ufficio,Violazioni e sanzioni,A carico del contribuente,4000.0,0.0,,1,U91,2021-09-16,https://bancadatigiurisprudenza.giustiziatributaria.gov.it/ricerca/dettaglio/5330725128929182798-8909263512884950988,Sentenza,Appello non presente,True
Sentenza_U93_56_2022.txt,56,2022,CGT 1 Viterbo,2022-01-18,36738.79,Collegiale,Favorevole all'ufficio,Riscossione,A carico del contribuente,1500.0,0.0,Appello non presente,1,U93,2022-01-11,https://bancadatigiurisprudenza.giustiziatributaria.gov.it/ricerca/dettaglio/7216770716784686885-5754365783307978973,,,
Sentenza_V06_822_2023.txt,822,2023,CGT 1 Avellino,2023-09-15,16182.0,Collegiale,Favorevole al contribuente,Contenzioso,Compensate,0.0,0.0,Appello presente,1,V06,2023-09-09,https://bancadatigiurisprudenza.giustiziatributaria.gov.it/ricerca/dettaglio/7689130380622491411-7193047021052062881,,,
Sentenza_V10_10757_2023.txt,10757,2023,CGT 1 Napoli,2023-07-27,455000.0,Collegiale,Favorevole all'ufficio,Ires (ex Irpeg),A carico del contribuente,1500.0,0.0,Appello non presente,1,V10,2023-07-24,https://bancadatigiurisprudenza.giustiziatributaria.gov.it/ricerca/dettaglio/2981757594575636448-6971839438617668800,,,
Sentenza_V10_14484_2023.txt,14484,2023,CGT 1 Napoli,2023-10-25,58776.0,Collegiale,Favorevole all'ufficio,Ires (ex Irpeg),A carico del contribuente,1500.0,0.0,Appello non presente,1,V10,2023-10-04,https://bancadatigiurisprudenza.giustiziatributaria.gov.it/ricerca/dettaglio/1230853210690304305-7380296677286403540,,,
Sentenza_V10_14619_2023.txt,14619,2023,CGT 1 Napoli,2023-10-26,400.0,Collegiale,Favorevole all'ufficio,Registro,A carico del contribuente,1000.0,0.0,Appello non presente,1,V10,2023-10-24,https://bancadatigiurisprudenza.giustiziatributaria.gov.it/ricerca/dettaglio/5855018995049848771-7005247456325690774,,,
Sentenza_V10_14727_2023.txt,14727,2023,CGT 1 Napoli,2023-10-30,950.0,Collegiale,Favorevole al contribuente,Riscossione,A carico dell'ufficio,0.0,230.0,Appello presente,1,V10,2023-10-25,https://bancadatigiurisprudenza.giustiziatributaria.gov.it/ricerca/dettaglio/9164577019271764856-6574423561794954232,,,
Sentenza_V10_3453_2023.txt,3453,2023,CGT 1 Napoli,2023-03-13,3397.0,Collegiale,Favorevole al contribuente,Tarsu,A carico dell'ufficio,0.0,800.0,Appello non presente,1,V10,2023-03-10,https://bancadatigiurisprudenza.giustiziatributaria.gov.it/ricerca/dettaglio/7910653254907781429-8454245655986421345,,,
Sentenza_V10_4293_2021.txt,4293,2021,CGT 1 Napoli,2021-04-30,497.2,Collegiale,Favorevole all'ufficio,,A carico del contribuente,100.0,0.0,,1,V10,2025-04-11,https://bancadatigiurisprudenza.giustiziatributaria.gov.it/ricerca/dettaglio/3420021332061767927-8465661165120952482,Sentenza,Appello non presente,True
Sentenza_V10_7264_2021.txt,7264,2021,CGT 1 Napoli,2021-06-30,11932.16,Collegiale,Favorevole al contribuente,Accertamento imposte,Compensate,0.0,0.0,,1,V10,2021-06-29,https://bancadatigiurisprudenza.giustiziatributaria.gov.it/ricerca/dettaglio/7995453549748172469-7901506390764599963,Sentenza,Appello non presente,True
Sentenza_V10_7817_2023.txt,7817,2023,CGT 1 Napoli,2023-06-06,186.85,Collegiale,Favorevole all'ufficio,Tarsu,A carico del contribuente,170.0,0.0,Appello non presente,1,V10,2023-06-04,https://bancadatigiurisprudenza.giustiziatributaria.gov.it/ricerca/dettaglio/9198977595816099255-3748910028808144513,,,
Sentenza_V10_8090_2023.txt,8090,2023,CGT 1 Napoli,2023-06-09,730.06,Collegiale,Giudizio intermedio,Tasse automobilistiche,Compensate,0.0,0.0,Appello non presente,1,V10,2023-06-08,https://bancadatigiurisprudenza.giustiziatributaria.gov.it/ricerca/dettaglio/9141169403942810198-6072314946424980995,,,
Sentenza_V12_962_2022.txt,962,2022,CGT 1 Salerno,2022-05-04,162404.0,Collegiale,Favorevole all'ufficio,Accertamento imposte,A carico del contribuente,1500.0,0.0,Sentenza di secondo grado,1,V12,2022-04-13,https://bancadatigiurisprudenza.giustiziatributaria.gov.it/ricerca/dettaglio/2643342657286384243-5860126551986782521,,,
Sentenza_V16_372_2022.txt,372,2022,CGT 1 Brindisi,2022-10-20,871.0,Collegiale,Favorevole all'ufficio,Irpef,Compensate,0.0,0.0,Appello non presente,1,V16,2022-10-17,https://bancadatigiurisprudenza.giustiziatributaria.gov.it/ricerca/dettaglio/6590115038159977696-7875232371872535474,,,
Sentenza_V20_830_2022.txt,830,2022,CGT 1 Taranto,2022-07-14,8176.0,Collegiale,Favorevole all'ufficio,Imu ex Ici,Non liquidate,0.0,0.0,Appello presente,1,V20,2022-07-12,https://bancadatigiurisprudenza.giustiziatributaria.gov.it/ricerca/dettaglio/9099218015637762048-8030439362872132689,,,
Sentenza_V20_943_2021.txt,943,2021,CGT 1 Taranto,2021-11-11,29194.4,Collegiale,Favorevole al contribuente,,Non liquidate,0.0,0.0,,1,V20,2025-05-03,https://bancadatigiurisprudenza.giustiziatributaria.gov.it/ricerca/dettaglio/5246967547752739418-6145890166096705981,Sentenza,Appello presente,True
Sentenza_V22_1763_2021.txt,1763,2021,CGT 1 Cosenza,2021-03-16,4050.0,Collegiale,Favorevole all'ufficio,,A carico del contribuente,900.0,0.0,,1,V22,2025-04-11,https://bancadatigiurisprudenza.giustiziatributaria.gov.it/ricerca/dettaglio/4203465398905841001-5863522910631316234,Sentenza,Appello non presente,True
Sentenza_V22_3848_2021.txt,3848,2021,CGT 1 Cosenza,2021-07-01,4536.0,Collegiale,Favorevole al contribuente,Tarsu,A carico dell'ufficio,0.0,300.0,,1,V22,2021-06-25,https://bancadatigiurisprudenza.giustiziatributaria.gov.it/ricerca/dettaglio/415008662904708542-8005051422805487871,Sentenza,Appello non presente,True
Sentenza_V22_4978_2023.txt,4978,2023,CGT 1 Cosenza,2023-10-04,2350.05,Collegiale,Favorevole all'ufficio,Riscossione,Compensate,0.0,0.0,Appello non presente,1,V22,2023-09-30,https://bancadatigiurisprudenza.giustiziatributaria.gov.it/ricerca/dettaglio/3033777541383906794-8346216053731170570,,,
Sentenza_V22_5547_2023.txt,5547,2023,CGT 1 Cosenza,2023-11-02,1479.52,Collegiale,Favorevole all'ufficio,Tributi locali vari,A carico del contribuente,1278.0,0.0,Appello non presente,1,V22,2023-10-28,https://bancadatigiurisprudenza.giustiziatributaria.gov.it/ricerca/dettaglio/3403522746198790711-5889709217320892451,,,
Sentenza_V31_1512_2022.txt,1512,2022,CGT 1 Reggio Calabria,2022-04-21,6071.0,Collegiale,Giudizio intermedio,Irpef,Compensate,0.0,0.0,Appello presente,1,V31,2022-04-13,https://bancadatigiurisprudenza.giustiziatributaria.gov.it/ricerca/dettaglio/7657133256818056286-7540697295250269797,,,
Sentenza_V31_207_2021.txt,207,2021,CGT 1 Reggio Calabria,2021-01-22,785.58,Collegiale,Favorevole all'ufficio,,Non liquidate,0.0,0.0,,1,V31,2025-01-02,https://bancadatigiurisprudenza.giustiziatributaria.gov.it/ricerca/dettaglio/3421009955471989474-4942560183100255287,Sentenza,Appello non presente,True
