filename|annotator|questione|id|source-name|source-partition-id|ref-type|ref-scope|text|context|alias|partition|doc-type|authority|region|city|detached-city|section|ministry|other-authority|eu-acronym|number|year|full-number|case-number|area|doc-date|deposit-date|notification-date|publication-date|applicant|defendant|ro-number|rv-number|gu-series|url|cited-doc-simple-id|cited-art-simple-id|cited-comma-simple-id
Sentenza_U13_1015_2022.json|A1|Se la società ricorrente, in qualità di soggetto erogatore d|1|||legislation|nazionale|art. 6, comma 1 lett. c) primo periodo, della l. 14 giugno 1990 n. 158|art. 6, comma 1 lett. c) primo periodo, della l. 14 giugno 1990 n. 158||articolo-6_comma-1_lettera-c_periodo-1|L|||||||||158|||||1990-06-14|||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:1990;158~art6-comma1-letc-periodo1|legge:1990;158|legge:1990;158_articolo-6|legge:1990;158_articolo-6_comma-1
Sentenza_U13_1015_2022.json|A1|Se la società ricorrente, in qualità di soggetto erogatore d|2|||legislation|regionale|art. 3 l.r. 31 agosto 1993, n. 47|art. 3 l.r. 31 agosto 1993, n. 47||articolo-3|L|REGIONE||||||||47|||||1993-08-31||||||||||||
Sentenza_U13_1015_2022.json|A1|Se la società ricorrente, in qualità di soggetto erogatore d|3|||caselaw|nazionale|Cass., sez. V civ., 29 ottobre 2020, n. 23883|Cass., sez. V civ., 29 ottobre 2020, n. 23883||||CORTE_CASS||||5||||23883||||CIVILE|2020-10-29|||||||||https://e-justice.europa.eu/ecli/it/ECLI:IT:CASS:2020:23883CIV.html|CASS:2020:23883CIV||
Sentenza_U13_1015_2022.json|A1|Se la società ricorrente, in qualità di soggetto erogatore d|4|||caselaw|nazionale|Cass., SS.UU. 16 febbraio 2016, n. 2951|Cass., SS.UU. 16 febbraio 2016, n. 2951||||CORTE_CASS||||UNITE||||2951|||||2016-02-16||||||||||||
Sentenza_U13_1015_2022.json|A1|Se la società ricorrente, in qualità di soggetto erogatore d|5|||caselaw|nazionale|Cass. 15 maggio 2018, n. 11744|Cass. 15 maggio 2018, n. 11744||||CORTE_CASS||||||||11744|||||2018-05-15||||||||||||
Sentenza_U13_1015_2022.json|A2|Se la società ricorrente, in qualità di soggetto erogatore d|1|||legislation|nazionale|Art. 6 co.1 lett. c), L.158/90|Art. 6 co.1 lett. c), L.158/90||articolo-6_comma-1_lettera-c|L|||||||||158|1990|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:1990;158~art6-comma1-letc|legge:1990;158|legge:1990;158_articolo-6|legge:1990;158_articolo-6_comma-1
Sentenza_U13_1015_2022.json|A2|Se la società ricorrente, in qualità di soggetto erogatore d|2|||legislation|nazionale|art. 3 dl 271/1957|art. 3 dl 271/1957||articolo-3|DL|||||||||271|1957|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legge:1957;271~art3|decreto.legge:1957;271|decreto.legge:1957;271_articolo-3|
Sentenza_U13_1015_2022.json|A2|Se la società ricorrente, in qualità di soggetto erogatore d|3|||legislation|nazionale|art. 81 cpc|art. 81 cpc|COD_PROC_CIV|articolo-81||||||||||||||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:regio.decreto:1940-10-28;1443:1~art81|COD_PROC_CIV|COD_PROC_CIV_articolo-81|
Sentenza_U13_1015_2022.json|A2|Se la società ricorrente, in qualità di soggetto erogatore d|4|||caselaw|nazionale|Cass. civ sez V 23883/2020|Cass. civ sez V 23883/2020 SS.UU. civili 2951/2016 Cass civ sez III 11744/2018||||CORTE_CASS||||5||||23883|2020|||CIVILE||||||||||https://e-justice.europa.eu/ecli/it/ECLI:IT:CASS:2020:23883CIV.html|CASS:2020:23883CIV||
Sentenza_U13_1015_2022.json|A2|Se la società ricorrente, in qualità di soggetto erogatore d|5|||caselaw|nazionale|SS.UU. civili 2951/2016 Cass|Cass. civ sez V 23883/2020 SS.UU. civili 2951/2016 Cass civ sez III 11744/2018||||CORTE_CASS||||UNITE||||2951|2016|||CIVILE||||||||||https://e-justice.europa.eu/ecli/it/ECLI:IT:CASS:2016:2951CIV.html|CASS:2016:2951CIV||
Sentenza_U13_1015_2022.json|A2|Se la società ricorrente, in qualità di soggetto erogatore d|6|||caselaw|nazionale|civ sez III 11744/2018|Cass. civ sez V 23883/2020 SS.UU. civili 2951/2016 Cass civ sez III 11744/2018||||CORTE_CASS||||3||||11744|2018|||CIVILE||||||||||https://e-justice.europa.eu/ecli/it/ECLI:IT:CASS:2018:11744CIV.html|CASS:2018:11744CIV||
Sentenza_U17_119_2022.json|A1|Se l'Ufficio abbia adempiuto al proprio onere probatorio rig|1|||caselaw|nazionale|Cass. 13 febbraio 2018 n. 3473|Cass. 13 febbraio 2018 n. 3473||||CORTE_CASS||||||||3473|||||2018-02-13||||||||||||
Sentenza_U17_119_2022.json|A2|Se l'Ufficio abbia adempiuto al proprio onere probatorio rig|1|||caselaw|nazionale|Cass. 13 febbraio 2018 n. 3473|Cass. 13 febbraio 2018 n. 3473||||CORTE_CASS||||||||3473|||||2018-02-13||||||||||||
Sentenza_U24_1913_2022.json|A1|Se l'Ufficio, in mancanza di risposta ai questionari da part|1|||legislation|nazionale|art. 39, comma 2, lett. d-bis, d.P.R. n. 600/1973|art. 39, comma 2, lett. d-bis, d.P.R. n. 600/1973||articolo-39_comma-2_lettera-d-bis|DECR|PRES_REP||||||||600|1973|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:presidente.repubblica:decreto:1973;600~art39-comma2-letdbis|presidente.repubblica:decreto:1973;600|presidente.repubblica:decreto:1973;600_articolo-39|presidente.repubblica:decreto:1973;600_articolo-39_comma-2
Sentenza_U24_1913_2022.json|A1|Se l'Ufficio, in mancanza di risposta ai questionari da part|2|||legislation|nazionale|art. 32, comma 1, n. 3|art. 32, comma 1, n. 3 e 4, d.P.R. n. 600/1973||articolo-32_comma-1_numero-3|DECR|PRES_REP||||||||600|1973|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:presidente.repubblica:decreto:1973;600~art32-comma1-num3|presidente.repubblica:decreto:1973;600|presidente.repubblica:decreto:1973;600_articolo-32|presidente.repubblica:decreto:1973;600_articolo-32_comma-1
Sentenza_U24_1913_2022.json|A1|Se l'Ufficio, in mancanza di risposta ai questionari da part|3|||legislation|nazionale|4, d.P.R. n. 600/1973|art. 32, comma 1, n. 3 e 4, d.P.R. n. 600/1973||articolo-32_comma-1_numero-4|DECR|PRES_REP||||||||600|1973|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:presidente.repubblica:decreto:1973;600~art32-comma1-num4|presidente.repubblica:decreto:1973;600|presidente.repubblica:decreto:1973;600_articolo-32|presidente.repubblica:decreto:1973;600_articolo-32_comma-1
