filename|id|source-name|source-partition-id|ref-type|ref-scope|text|context|alias|partition|doc-type|authority|region|city|detached-city|section|ministry|other-authority|eu-acronym|number|year|full-number|case-number|area|doc-date|deposit-date|notification-date|publication-date|applicant|defendant|ro-number|rv-number|gu-series|url|cited-doc-simple-id|cited-art-simple-id|cited-comma-simple-id
Sentenza_U13_1015_2022.json|1|||caselaw|nazionale|Sentenza n. 1015/2022 Depositato il 16/12/2022|Sentenza n. 1015/2022 Depositato il 16/12/2022|||SENT|||||||||1015|2022|||||2022-12-16|||||||||||
Sentenza_U13_1015_2022.json|2|||legislation|comunitario|direttiva 2008/118/CE del 6 dicembre 2008|direttiva 2008/118/CE del 6 dicembre 2008|||DIR||||||||CE|118|2008|2008/118/CE|||2008-12-06|||||||||http://eur-lex.europa.eu/legal-content/it/TXT/?uri=CELEX:32008L0118|CELEX:32008L0118||
Sentenza_U13_1015_2022.json|3|||legislation|nazionale|art. 1, comma 628, della l. 178/2021|art. 1, comma 628, della l. 178/2021||articolo-1_comma-628|L|||||||||178|2021|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:2021;178~art1-comma628|legge:2021;178|legge:2021;178_articolo-1|legge:2021;178_articolo-1_comma-628
Sentenza_U13_1015_2022.json|4|||legislation|regionale|art. 2 della l.r. Piemonte n. 31/2020|art. 2 della l.r. Piemonte n. 31/2020||articolo-2|L|REGIONE|PIE|||||||31|2020|||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:regione.piemonte:legge:2020;31~art2|regione.piemonte:legge:2020;31|regione.piemonte:legge:2020;31_articolo-2|
Sentenza_U13_1015_2022.json|5|||legislation|comunitario|art. 1, comma 2, della Direttiva 2008/118/CE del 16 dicembre 2008|art. 1, comma 2, della Direttiva 2008/118/CE del 16 dicembre 2008||articolo-1_comma-2|DIR||||||||CE|118|2008|2008/118/CE|||2008-12-16|||||||||http://eur-lex.europa.eu/legal-content/it/TXT/?uri=CELEX:32008L0118|CELEX:32008L0118|CELEX:32008L0118_articolo-1|CELEX:32008L0118_articolo-1_comma-2
Sentenza_U13_1015_2022.json|6|||legislation|nazionale|art. 6, comma 1 lett. c) primo periodo, della l. 14 giugno 1990 n. 158|art. 6, comma 1 lett. c) primo periodo, della l. 14 giugno 1990 n. 158||articolo-6_comma-1_lettera-c_periodo-1|L|||||||||158|1990||||1990-06-14|||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:1990;158~art6-comma1-letc-periodo1|legge:1990;158|legge:1990;158_articolo-6|legge:1990;158_articolo-6_comma-1
Sentenza_U13_1015_2022.json|7|||legislation|nazionale|art. 1, comma 628, della l. 30 dicembre 2020, n. 178|art. 1, comma 628, della l. 30 dicembre 2020, n. 178||articolo-1_comma-628|L|||||||||178|||||2020-12-30|||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:2020;178~art1-comma628|legge:2020;178|legge:2020;178_articolo-1|legge:2020;178_articolo-1_comma-628
Sentenza_U13_1015_2022.json|8|||legislation|regionale|l.r. 31 agosto 1993, n. 47) all’art. 3|l.r. 31 agosto 1993, n. 47) all’art. 3||articolo-3|L|REGIONE|PIE|||||||47|||||1993-08-31|||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:regione.piemonte:legge:1993;47~art3|regione.piemonte:legge:1993;47|regione.piemonte:legge:1993;47_articolo-3|
Sentenza_U13_1015_2022.json|9|||legislation|nazionale|legge n. 158 del 1990|legge n. 158 del 1990|||L|||||||||158|1990||||1990-06-14|||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:1990;158|legge:1990;158||
Sentenza_U13_1015_2022.json|10|||legislation|nazionale|articolo 3 del decreto legge 5 maggio 1957, n. 271|articolo 3 del decreto legge 5 maggio 1957, n. 271||articolo-3|DL|||||||||271|||||1957-05-05|||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:decreto.legge:1957;271~art3|decreto.legge:1957;271|decreto.legge:1957;271_articolo-3|
Sentenza_U13_1015_2022.json|11|||legislation|nazionale|legge 2 luglio 1957, n. 474|legge 2 luglio 1957, n. 474|||L|||||||||474|||||1957-07-02|||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:legge:1957;474|legge:1957;474||
Sentenza_U13_1015_2022.json|12|||legislation|nazionale|art. 81 c.p.c.|art. 81 c.p.c.|COD_PROC_CIV|articolo-81||||||||||||||||||||||||http://www.normattiva.it/uri-res/N2Ls?urn:nir:stato:regio.decreto:1940-10-28;1443:1~art81|COD_PROC_CIV|COD_PROC_CIV_articolo-81|
