"filename","n_issues_original","n_issues_new","n_issues_aligned","revisionato"
"Sentenza_U09_10_2022.xml","2","2","0","1"
"Sentenza_U13_1015_2022.xml","1","2","1","1"
"Sentenza_U17_119_2022.xml","2","2","2","1"
"Sentenza_U24_1913_2022.xml","1","2","1","1"
"Sentenza_U75_247_2021.xml","2","2","2","1"
"Sentenza_U91_11131_2023.xml","2","2","2","1"
"Sentenza_U91_485_2022.xml","1","2","1","1"
"Sentenza_U91_5452_2021.xml","1","2","1","1"
"Sentenza_U91_9814_2021.xml","2","2","2","1"
"Sentenza_U93_56_2022.xml","2","2","2","1"
"Sentenza_V06_822_2023.xml","1","1","1","1"
"Sentenza_V10_10757_2023.xml","2","2","1","1"
"Sentenza_V10_14484_2023.xml","3","3","3","1"
"Sentenza_V10_14619_2023.xml","1","1","1","1"
"Sentenza_V10_14727_2023.xml","1","1","1","1"
"Sentenza_V10_3453_2023.xml","2","1","1","1"
"Sentenza_V10_4293_2021.xml","1","1","1","1"
"Sentenza_V10_7264_2021.xml","1","1","1","1"
"Sentenza_V10_7817_2023.xml","1","1","1","1"
"Sentenza_V10_8090_2023.xml","1","2","0","1"
"Sentenza_V12_962_2022.xml","3","2","2","1"
"Sentenza_V16_372_2022.xml","2","2","1","1"
"Sentenza_V20_830_2022.xml","1","1","1","1"
"Sentenza_V20_943_2021.xml","1","1","1","1"
"Sentenza_V22_1763_2021.xml","2","3","2","1"
"Sentenza_V22_3848_2021.xml","1","1","1","1"
"Sentenza_V22_4978_2023.xml","1","1","0","1"
"Sentenza_V22_5547_2023.xml","2","2","1","1"
"Sentenza_V31_1512_2022.xml","2","2","2","1"
"Sentenza_V31_207_2021.xml","1","1","1","1"
"Sentenza_V31_2235_2021.xml","1","1","1","1"
"Sentenza_V40_2713_2023.xml","2","2","1","1"
"Sentenza_V40_875_2022.xml","2","2","2","1"
"Sentenza_V40_9206_2021.xml","1","1","1","1"
"Sentenza_V43_3075_2022.xml","1","1","1","1"
"Sentenza_V43_3256_2021.xml","2","1","1","1"
"Sentenza_V43_3667_2023.xml","2","2","2","1"
"Sentenza_V50_1992_2021.xml","1","1","1","1"
"Sentenza_V63_169_2023.xml","2","1","0","1"
"Sentenza_Z11_370_2021.xml","1","2","1","1"
"Sentenza_Z29_1812_2023.xml","2","4","2","1"
"Sentenza_Z29_2235_2023.xml","1","1","1","1"
"Sentenza_Z29_513_2022.xml","2","2","2","1"
"Sentenza_Z29_6436_2022.xml","2","2","1","1"
"Sentenza_Z29_7548_2021.xml","2","2","2","1"
"Sentenza_Z29_7978_2022.xml","1","1","1","1"
"Sentenza_Z31_3048_2022.xml","1","1","1","1"
"Sentenza_Z31_3163_2023.xml","2","2","2","1"
"Sentenza_Z46_8006_2023.xml","2","2","1","1"
"Sentenza_Z55_4587_2022.xml","2","2","2","1"
