filename,issue_end,shared
Sentenza_U09_10_2022.json,/2017.,3
Sentenza_U09_10_2022.json,iferi.,0
Sentenza_U13_1015_2022.json,inali.,5
Sentenza_U17_119_2022.json,tesse.,1
Sentenza_U17_119_2022.json,/2000.,0
Sentenza_U91_485_2022.json,poste.,2
Sentenza_U91_5452_2021.json,mento.,8
Sentenza_V06_822_2023.json,nulla.,2
Sentenza_V10_14727_2023.json,/1973.,3
Sentenza_V10_8090_2023.json,mento.,1
Sentenza_V12_962_2022.json,gnato.,2
Sentenza_V12_962_2022.json,rente.,0
Sentenza_V12_962_2022.json,00/73.,2
Sentenza_V31_1512_2022.json,zione.,2
Sentenza_V31_1512_2022.json,onale.,1
Sentenza_V31_207_2021.json,mento.,1
Sentenza_V31_2235_2021.json,ività.,0
Sentenza_V40_2713_2023.json,/1973.,0
Sentenza_V40_2713_2023.json,tture.,2
Sentenza_V40_9206_2021.json, 2014.,11
Sentenza_V43_3256_2021.json, TARI.,1
Sentenza_V43_3256_2021.json, 2020.,0
Sentenza_V63_169_2023.json,zione.,0
Sentenza_V63_169_2023.json,messi.,2
Sentenza_Z11_370_2021.json,sione.,9
Sentenza_Z29_1812_2023.json,grado.,5
Sentenza_Z29_1812_2023.json,zione.,0
Sentenza_Z29_2235_2023.json,legge.,1
Sentenza_Z55_4587_2022.json,ID-19.,1
Sentenza_Z55_4587_2022.json,uente.,1
